id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
4986,2023-08-03,9,3,12,33,30,2023-08-03 00:00:00.0000,2023-08-03 00:00:00.0000
4987,2023-08-04,38,16,7,35,20,2023-08-04 00:00:00.0000,2023-08-04 00:00:00.0000
4988,2023-08-05,4,15,9,10,34,2023-08-05 00:00:00.0000,2023-08-05 00:00:00.0000
4989,2023-08-07,14,8,32,34,29,2023-08-07 00:00:00.0000,2023-08-07 00:00:00.0000
4990,2023-08-08,7,19,29,10,28,2023-08-08 00:00:00.0000,2023-08-08 00:00:00.0000
4991,2023-08-09,39,12,15,3,30,2023-08-09 00:00:00.0000,2023-08-09 00:00:00.0000
4992,2023-08-10,13,38,14,30,1,2023-08-10 00:00:00.0000,2023-08-10 00:00:00.0000
4993,2023-08-11,38,6,24,23,39,2023-08-11 00:00:00.0000,2023-08-11 00:00:00.0000
4994,2023-08-12,31,23,8,27,32,2023-08-12 00:00:00.0000,2023-08-12 00:00:00.0000
4995,2023-08-14,33,17,28,26,18,2023-08-14 00:00:00.0000,2023-08-14 00:00:00.0000
4996,2023-08-15,26,23,37,33,14,2023-08-15 00:00:00.0000,2023-08-15 00:00:00.0000
4997,2023-08-16,2,28,7,9,19,2023-08-16 00:00:00.0000,2023-08-16 00:00:00.0000
4998,2023-08-17,4,27,15,34,18,2023-08-17 00:00:00.0000,2023-08-17 00:00:00.0000
4999,2023-08-18,14,23,6,38,34,2023-08-18 00:00:00.0000,2023-08-18 00:00:00.0000
5000,2023-08-19,14,23,15,9,28,2023-08-19 00:00:00.0000,2023-08-19 00:00:00.0000
5001,2023-08-21,7,36,25,6,24,2023-08-21 00:00:00.0000,2023-08-21 00:00:00.0000
5002,2023-08-22,11,9,36,27,12,2023-08-22 00:00:00.0000,2023-08-22 00:00:00.0000
5003,2023-08-23,2,23,7,19,28,2023-08-23 00:00:00.0000,2023-08-23 00:00:00.0000
5004,2023-08-24,34,14,5,23,29,2023-08-24 00:00:00.0000,2023-08-24 00:00:00.0000
5005,2023-08-25,23,5,30,32,11,2023-08-25 00:00:00.0000,2023-08-25 00:00:00.0000
5006,2023-08-26,24,7,27,9,6,2023-08-26 00:00:00.0000,2023-08-26 00:00:00.0000
5007,2023-08-28,17,26,31,1,13,2023-08-28 00:00:00.0000,2023-08-28 00:00:00.0000
5008,2023-08-29,13,10,4,37,2,2023-08-29 00:00:00.0000,2023-08-29 00:00:00.0000
5009,2023-08-30,13,33,36,16,35,2023-08-30 00:00:00.0000,2023-08-30 00:00:00.0000
5010,2023-08-31,14,30,11,19,39,2023-08-31 00:00:00.0000,2023-08-31 00:00:00.0000
5011,2023-09-01,19,34,31,1,17,2023-09-01 00:00:00.0000,2023-09-01 00:00:00.0000
5012,2023-09-02,11,25,34,22,15,2023-09-02 00:00:00.0000,2023-09-02 00:00:00.0000
5013,2023-09-04,6,17,20,37,18,2023-09-04 00:00:00.0000,2023-09-04 00:00:00.0000
5014,2023-09-05,34,20,12,21,16,2023-09-05 00:00:00.0000,2023-09-05 00:00:00.0000
5015,2023-09-06,28,23,10,4,29,2023-09-06 00:00:00.0000,2023-09-06 00:00:00.0000
5016,2023-09-07,10,36,27,24,37,2023-09-07 00:00:00.0000,2023-09-07 00:00:00.0000
5017,2023-09-08,6,23,8,31,14,2023-09-08 00:00:00.0000,2023-09-08 00:00:00.0000
5018,2023-09-09,35,39,11,31,13,2023-09-09 00:00:00.0000,2023-09-09 00:00:00.0000
5019,2023-09-11,12,39,31,33,6,2023-09-11 00:00:00.0000,2023-09-11 00:00:00.0000
