id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
193,2007-09-26,32,37,33,31,8,2007-09-26 00:00:00.0000,2007-09-26 00:00:00.0000
194,2007-09-27,16,11,12,6,33,2007-09-27 00:00:00.0000,2007-09-27 00:00:00.0000
195,2007-09-28,4,37,9,26,17,2007-09-28 00:00:00.0000,2007-09-28 00:00:00.0000
196,2007-10-01,33,35,2,31,28,2007-10-01 00:00:00.0000,2007-10-01 00:00:00.0000
197,2007-10-02,23,22,1,26,8,2007-10-02 00:00:00.0000,2007-10-02 00:00:00.0000
198,2007-10-03,5,24,1,8,12,2007-10-03 00:00:00.0000,2007-10-03 00:00:00.0000
199,2007-10-04,36,2,35,24,6,2007-10-04 00:00:00.0000,2007-10-04 00:00:00.0000
200,2007-10-05,34,39,11,25,8,2007-10-05 00:00:00.0000,2007-10-05 00:00:00.0000
201,2007-10-08,21,14,19,34,16,2007-10-08 00:00:00.0000,2007-10-08 00:00:00.0000
202,2007-10-09,12,26,22,5,7,2007-10-09 00:00:00.0000,2007-10-09 00:00:00.0000
203,2007-10-10,22,8,27,24,1,2007-10-10 00:00:00.0000,2007-10-10 00:00:00.0000
204,2007-10-11,36,26,18,4,23,2007-10-11 00:00:00.0000,2007-10-11 00:00:00.0000
205,2007-10-12,12,1,17,23,13,2007-10-12 00:00:00.0000,2007-10-12 00:00:00.0000
206,2007-10-15,17,10,31,9,18,2007-10-15 00:00:00.0000,2007-10-15 00:00:00.0000
207,2007-10-16,11,15,22,20,34,2007-10-16 00:00:00.0000,2007-10-16 00:00:00.0000
208,2007-10-17,19,3,18,7,23,2007-10-17 00:00:00.0000,2007-10-17 00:00:00.0000
209,2007-10-18,21,31,11,13,22,2007-10-18 00:00:00.0000,2007-10-18 00:00:00.0000
210,2007-10-19,22,7,29,27,32,2007-10-19 00:00:00.0000,2007-10-19 00:00:00.0000
211,2007-10-22,23,18,1,13,33,2007-10-22 00:00:00.0000,2007-10-22 00:00:00.0000
212,2007-10-23,3,22,9,4,39,2007-10-23 00:00:00.0000,2007-10-23 00:00:00.0000
213,2007-10-24,31,29,17,1,3,2007-10-24 00:00:00.0000,2007-10-24 00:00:00.0000
214,2007-10-25,20,11,16,31,9,2007-10-25 00:00:00.0000,2007-10-25 00:00:00.0000
215,2007-10-26,17,23,29,37,19,2007-10-26 00:00:00.0000,2007-10-26 00:00:00.0000
216,2007-10-29,17,4,39,32,3,2007-10-29 00:00:00.0000,2007-10-29 00:00:00.0000
217,2007-10-30,4,27,3,22,6,2007-10-30 00:00:00.0000,2007-10-30 00:00:00.0000
218,2007-10-31,15,35,23,28,36,2007-10-31 00:00:00.0000,2007-10-31 00:00:00.0000
219,2007-11-01,12,30,14,9,22,2007-11-01 00:00:00.0000,2007-11-01 00:00:00.0000
220,2007-11-02,5,4,30,31,1,2007-11-02 00:00:00.0000,2007-11-02 00:00:00.0000
221,2007-11-05,28,12,31,26,38,2007-11-05 00:00:00.0000,2007-11-05 00:00:00.0000
222,2007-11-06,33,9,37,26,32,2007-11-06 00:00:00.0000,2007-11-06 00:00:00.0000
223,2007-11-07,21,6,12,20,30,2007-11-07 00:00:00.0000,2007-11-07 00:00:00.0000
224,2007-11-08,29,36,23,25,24,2007-11-08 00:00:00.0000,2007-11-08 00:00:00.0000
225,2007-11-09,36,28,2,18,12,2007-11-09 00:00:00.0000,2007-11-09 00:00:00.0000
226,2007-11-12,34,36,33,37,30,2007-11-12 00:00:00.0000,2007-11-12 00:00:00.0000
227,2007-11-13,18,6,5,16,29,2007-11-13 00:00:00.0000,2007-11-13 00:00:00.0000
228,2007-11-14,39,24,9,31,2,2007-11-14 00:00:00.0000,2007-11-14 00:00:00.0000
229,2007-11-15,37,6,29,35,21,2007-11-15 00:00:00.0000,2007-11-15 00:00:00.0000
230,2007-11-16,10,19,32,5,1,2007-11-16 00:00:00.0000,2007-11-16 00:00:00.0000
231,2007-11-19,10,25,20,17,19,2007-11-19 00:00:00.0000,2007-11-19 00:00:00.0000
232,2007-11-20,32,7,36,25,34,2007-11-20 00:00:00.0000,2007-11-20 00:00:00.0000
233,2007-11-21,6,38,17,20,10,2007-11-21 00:00:00.0000,2007-11-21 00:00:00.0000
234,2007-11-22,38,15,4,12,30,2007-11-22 00:00:00.0000,2007-11-22 00:00:00.0000
235,2007-11-23,7,16,13,31,24,2007-11-23 00:00:00.0000,2007-11-23 00:00:00.0000
236,2007-11-26,5,19,12,29,30,2007-11-26 00:00:00.0000,2007-11-26 00:00:00.0000
237,2007-11-27,11,34,12,19,5,2007-11-27 00:00:00.0000,2007-11-27 00:00:00.0000
238,2007-11-28,11,1,14,28,6,2007-11-28 00:00:00.0000,2007-11-28 00:00:00.0000
239,2007-11-29,12,38,24,29,15,2007-11-29 00:00:00.0000,2007-11-29 00:00:00.0000
240,2007-11-30,9,32,27,3,5,2007-11-30 00:00:00.0000,2007-11-30 00:00:00.0000
241,2007-12-03,24,28,3,11,31,2007-12-03 00:00:00.0000,2007-12-03 00:00:00.0000
242,2007-12-04,39,11,32,36,15,2007-12-04 00:00:00.0000,2007-12-04 00:00:00.0000
243,2007-12-05,3,8,9,11,36,2007-12-05 00:00:00.0000,2007-12-05 00:00:00.0000
